Please ONLY fill out this survey if you are a current freshman.,Blocking group size,Adams,Cabot,Currier,Dunster,Eliot,Kirkland,Leverett,Lowell,Mather,Pfoho,Quincy,Winthrop,Gender:,Ethnicity,Dorm:,Anticipated Concentration (select all that apply),Are you an athlete?
I am currently a freshman at Harvard.,4,3,11,12,7,4,8,6,2,9,10,5,1,Female,White,Holworthy,Computer Science,No
I am currently a freshman at Harvard.,8,4,12,10,3,8,7,6,1,9,11,5,2,Male,Asian,Thayer,Computer Science,No
I am currently a freshman at Harvard.,8,4,11,10,6,7,8,3,1,9,12,5,2,Male,White,Thayer,"Economics,Government,History,    Social Studies,    Sociology",No
I am currently a freshman at Harvard.,8,4,9,10,5,1,2,11,6,12,8,3,7,Female,White,Grays,    Neurobiology,No
I am currently a freshman at Harvard.,6,1,5,4,11,8,10,9,3,12,6,2,7,Female,Asian,Pennypacker,"Applied Mathematics,Computer Science,    Mathematics,    Physics",No
I am currently a freshman at Harvard.,1,4,11,12,2,8,7,5,1,9,10,3,6,Female,"White,Black or African American",Thayer,History,No
I am currently a freshman at Harvard.,6,5,12,10,4,3,6,8,1,7,11,9,2,Male,White,Thayer,Economics,No
I am currently a freshman at Harvard.,8,3,10,9,4,6,11,8,2,7,12,5,1,Male,Prefer not to say,Grays,History and Literature,Yes
I am currently a freshman at Harvard.,4,2,11,7,9,4,6,3,5,8,12,10,1,Female,,Canaday,Computer Science,No
I am currently a freshman at Harvard.,6,4,10,11,5,1,8,6,3,7,12,9,2,Female,White,Holworthy,    Philosophy,No
I am currently a freshman at Harvard.,8,4,11,12,8,1,7,5,3,9,10,6,2,Male,White,Grays,    Statistics,No
I am currently a freshman at Harvard.,8,3,10,7,6,4,12,11,2,8,9,1,5,Male,Hispanic or Latino,Thayer,Applied Mathematics,No
I am currently a freshman at Harvard.,8,2,7,6,9,8,12,10,3,11,1,4,5,Male,Black or African American,Grays,Electrical Engineering,No
I am currently a freshman at Harvard.,8,7,6,3,4,12,10,9,2,11,8,5,1,Male,Asian,Canaday,"Computer Science,    Mathematics,    Physics",No
I am currently a freshman at Harvard.,8,9,10,11,3,6,7,4,2,8,12,5,1,Female,Black or African American,Thayer,Biomedical Engineering,No
I am currently a freshman at Harvard.,4,2,12,10,3,7,8,4,5,9,11,1,6,Female,White,Straus,Computer Science,No
I am currently a freshman at Harvard.,8,5,10,12,7,6,9,4,3,8,11,1,2,Female,Asian,Grays,Environmental Science and Engineering,No
I am currently a freshman at Harvard.,8,8,12,11,7,1,9,3,6,2,10,5,4,Female,White,Thayer,Economics,Yes
I am currently a freshman at Harvard.,2,1,3,9,6,5,7,11,4,12,8,10,2,Female,White,Holworthy,Astrophysics,No
I am currently a freshman at Harvard.,8,5,1,9,7,8,11,2,4,12,10,6,3,Female,Asian,Holworthy,"Computer Science,    Mathematics",No
I am currently a freshman at Harvard.,4,2,10,11,4,5,6,8,3,12,9,7,1,Female,Black or African American,Holworthy,    Psychology,No
I am currently a freshman at Harvard.,8,5,12,11,2,4,8,7,3,9,10,6,1,Male,Asian,Grays,Computer Science,No
I am currently a freshman at Harvard.,3,3,8,5,4,9,10,12,1,7,6,11,2,Female,Asian,Straus,Economics,No
I am currently a freshman at Harvard.,6,8,12,2,5,6,9,7,1,10,11,3,4,Female,Asian,Grays,    Mathematics,No
I am currently a freshman at Harvard.,7,7,12,11,4,3,9,8,1,6,10,5,2,Male,Asian,Wigglesworth,"Applied Mathematics,Economics",No
I am currently a freshman at Harvard.,4,7,11,10,5,4,9,6,3,1,12,8,2,Female,White,Wigglesworth,History and Literature,No
I am currently a freshman at Harvard.,4,7,11,12,3,2,5,8,1,9,10,6,4,Female,White,Wigglesworth,    Social Studies,No
I am currently a freshman at Harvard.,7,3,12,10,1,7,9,6,4,8,11,2,5,Male,Asian,Matthews,"Computer Science,Electrical Engineering",No
