Please ONLY fill out this survey if you are a current freshman.,Blocking group size,Adams,Cabot,Currier,Dunster,Eliot,Kirkland,Leverett,Lowell,Mather,Pfoho,Quincy,Winthrop,Gender:,Ethnicity,Dorm:,Anticipated Concentration (select all that apply),Are you an athlete?
I am currently a freshman at Harvard.,8,4,3,8,9,2,7,12,11,6,1,5,10,Female,White,Hurlbut,    Physics,Yes
I am currently a freshman at Harvard.,5,5,8,9,3,12,11,1,7,4,10,6,2,Male,White,Matthews,Applied Mathematics,No
I am currently a freshman at Harvard.,4,2,12,11,4,8,9,7,3,6,10,1,5,Male,White,Canaday,Earth and Planetary Sciences,Yes
I am currently a freshman at Harvard.,2,3,10,9,4,6,12,8,1,7,11,5,2,Male,White,Canaday,History,No
I am currently a freshman at Harvard.,3,11,8,6,1,9,12,4,3,7,5,10,2,Female,Asian,Hurlbut,Economics,No
I am currently a freshman at Harvard.,5,5,12,11,1,2,8,9,6,10,7,4,3,Female,White,Canaday,    Neurobiology,Yes
I am currently a freshman at Harvard.,7,2,8,3,11,6,10,9,1,12,7,5,4,Female,Asian,Mass Hall,"East Asian Studies,Economics,Government,    Religion, Comparative Study of",No
I am currently a freshman at Harvard.,7,3,10,12,4,6,9,7,1,8,11,5,2,Male,"White,Middle Eastern or North African",Stoughton,"Biomedical Engineering,Chemical and Physical Biology",No
I am currently a freshman at Harvard.,7,6,9,10,4,8,12,5,1,7,11,3,2,Female,White,Holworthy,"Uncertain,Economics,Government,    Psychology,    Special Concentrations",No
I am currently a freshman at Harvard.,7,3,12,11,8,5,7,6,2,9,10,4,1,Female,White,Canaday,"    Psychology,    Sociology",No
I am currently a freshman at Harvard.,7,4,11,12,5,6,9,7,2,8,10,3,1,Female,White,Grays,Government,No
I am currently a freshman at Harvard.,8,1,11,12,6,8,4,9,3,5,10,7,2,Female,White,Canaday,Government,No
I am currently a freshman at Harvard.,5,1,8,12,2,11,9,4,5,6,10,3,7,Female,Asian,Canaday,    Mechanical Engineering,No
I am currently a freshman at Harvard.,4,4,12,11,8,6,9,5,3,7,10,2,1,Female,Asian,Canaday,"Computer Science,    Mechanical Engineering",Yes
I am currently a freshman at Harvard.,8,4,10,8,7,12,11,3,1,6,9,5,2,Male,"White,Asian",Canaday,Applied Mathematics,No
I am currently a freshman at Harvard.,8,6,11,10,2,7,8,9,3,5,12,4,1,Female,Asian,Hurlbut,"Applied Mathematics,Human Developmental and Regenerative Biology,    Neurobiology",No
I am currently a freshman at Harvard.,8,5,11,12,9,4,6,7,1,8,10,3,2,Female,White,Hurlbut,    Integrative Biology,Yes
I am currently a freshman at Harvard.,4,9,10,11,3,6,7,8,2,1,12,4,5,Female,"White,Other",Hurlbut,Earth and Planetary Sciences,No
I am currently a freshman at Harvard.,8,3,12,11,6,8,9,5,1,7,10,4,2,Female,White,Wigglesworth,Biomedical Engineering,No
I am currently a freshman at Harvard.,7,5,11,12,3,4,7,8,2,9,10,6,1,Prefer not to say,"White,Black or African American",Hurlbut,    Mathematics,No
I am currently a freshman at Harvard.,8,5,12,11,6,7,8,4,1,9,10,2,3,Female,White,Hurlbut,    Neurobiology,No
I am currently a freshman at Harvard.,8,5,12,10,8,6,4,7,1,9,11,3,2,Male,White,Matthews,Economics,Yes
I am currently a freshman at Harvard.,8,3,9,11,5,8,12,6,1,7,10,2,4,Male,Asian,Canaday,Computer Science,No
I am currently a freshman at Harvard.,7,6,10,11,2,5,9,3,1,8,12,7,4,Female,Black or African American,Wigglesworth,Computer Science,No
I am currently a freshman at Harvard.,5,2,10,11,6,4,7,3,1,9,12,8,5,Male,White,Canaday,History,No
I am currently a freshman at Harvard.,6,4,10,11,6,2,9,5,3,7,12,8,1,Female,White,Canaday, Human Evolutionary Biology,No
I am currently a freshman at Harvard.,8,6,10,12,3,5,8,7,1,9,11,4,2,Female,White,Hollis,    Social Studies,No
I am currently a freshman at Harvard.,4,3,10,11,2,9,8,7,5,4,12,6,1,Female,Black or African American,Hollis,Biomedical Engineering,No
I am currently a freshman at Harvard.,4,3,10,9,8,5,7,11,2,4,12,6,1,Male,White,Canaday,"Germanic Langauges and Literatures,Government",No
I am currently a freshman at Harvard.,2,7,11,10,5,1,9,8,3,6,12,4,2,Male,"White,Hispanic or Latino",Canaday,Engineering Sciences,No
I am currently a freshman at Harvard.,8,3,12,11,6,5,10,9,2,1,8,7,4,Female,Hispanic or Latino,Holworthy,"Human Developmental and Regenerative Biology, Human Evolutionary Biology,    Molecular and Cellular Biology",No
I am currently a freshman at Harvard.,7,2,8,10,7,5,6,4,1,12,9,11,3,Male,White,Hollis,Applied Mathematics,No
I am currently a freshman at Harvard.,8,1,8,6,7,5,11,9,4,12,10,3,2,Female,White,Hurlbut,Economics,No
I am currently a freshman at Harvard.,6,8,7,6,11,9,10,5,3,12,1,4,2,Male,Asian,Hollis,"    Integrative Biology,    Psychology",No
I am currently a freshman at Harvard.,6,9,12,11,2,5,8,6,3,7,10,4,1,Male,White,Hurlbut,    Psychology,No
I am currently a freshman at Harvard.,4,3,8,9,10,11,12,7,2,4,1,5,6,Male,White,Matthews,Chemistry,No
I am currently a freshman at Harvard.,7,2,12,11,5,7,8,6,1,9,10,3,4,Male,Asian,Hollis,    Social Studies,No
I am currently a freshman at Harvard.,7,5,12,11,3,4,7,6,1,10,9,8,2,Male,White,Hollis,Government,No
I am currently a freshman at Harvard.,2,1,11,12,6,8,7,5,2,9,10,3,4,Male,Asian,Hurlbut,Computer Science,No
I am currently a freshman at Harvard.,5,8,10,12,3,1,7,5,4,9,11,6,2,Female,Black or African American,Greenough,Human Developmental and Regenerative Biology,Yes
I am currently a freshman at Harvard.,1,4,9,10,3,2,12,11,1,7,8,5,6,Male,White,Canaday,Human Developmental and Regenerative Biology,No
I am currently a freshman at Harvard.,8,9,10,8,4,6,11,5,1,12,7,3,2,Female,White,Canaday,"    Mathematics,    Physics",No
I am currently a freshman at Harvard.,5,3,10,11,2,4,6,8,1,7,12,9,5,Female,White,Hollis,Uncertain,Yes
I am currently a freshman at Harvard.,7,6,11,12,1,5,9,8,2,7,10,4,3,Male,"White,Hispanic or Latino",Straus,"    Philosophy,    Social Studies",No
I am currently a freshman at Harvard.,4,1,10,12,5,4,6,9,3,8,11,7,2,Male,White,Hurlbut,Economics,Yes
I am currently a freshman at Harvard.,7,7,11,12,4,2,3,9,1,10,6,8,5,Male,Black or African American,Pennypacker,Biomedical Engineering,No
I am currently a freshman at Harvard.,7,7,10,5,8,11,12,2,6,3,9,1,4,Female,Asian,Canaday,Applied Mathematics,No
I am currently a freshman at Harvard.,5,2,10,11,7,1,8,9,5,6,12,4,3,Male,White,Greenough,Government,No
I am currently a freshman at Harvard.,8,10,1,2,6,11,12,8,5,9,4,3,7,Female,Asian,Hollis,Computer Science,No
I am currently a freshman at Harvard.,8,5,11,10,1,9,8,7,2,6,12,4,3,Female,Asian,Weld,    Statistics,No
I am currently a freshman at Harvard.,7,8,10,11,7,3,1,6,4,12,9,2,5,Female,White,Canaday,Applied Mathematics,No
I am currently a freshman at Harvard.,3,7,12,10,6,3,1,9,2,11,5,4,8,Male,White,Pennypacker,Government,No
I am currently a freshman at Harvard.,8,11,7,10,3,1,12,2,4,9,5,6,8,Female,White,Hollis," Human Evolutionary Biology,    Neurobiology",No
I am currently a freshman at Harvard.,4,1,10,9,2,3,12,11,7,5,6,4,8,Male,White,Matthews,"    Sociology,    South Asian Studies",No
I am currently a freshman at Harvard.,7,4,12,11,3,5,7,8,1,9,10,6,2,Female,Asian,Canaday,    Molecular and Cellular Biology,No
I am currently a freshman at Harvard.,6,8,12,11,6,4,3,5,1,9,10,7,2,Male,White,Matthews,East Asian Studies,No
I am currently a freshman at Harvard.,7,3,11,10,7,4,6,9,1,8,12,2,5,Male,Asian,Weld,Applied Mathematics,No
I am currently a freshman at Harvard.,7,3,9,12,10,7,11,6,1,4,8,5,2,Male,White,Canaday,History,No
I am currently a freshman at Harvard.,7,6,7,3,12,9,11,5,2,10,8,4,1,Female,Asian,Thayer,Economics,No
I am currently a freshman at Harvard.,5,4,8,9,5,10,11,12,3,7,6,2,1,Female,Asian,Canaday,Computer Science,No
I am currently a freshman at Harvard.,7,7,12,11,1,2,9,8,3,6,10,5,4,Male,White,Thayer,    Neurobiology,No
I am currently a freshman at Harvard.,3,8,6,7,11,3,5,10,2,12,9,4,1,Male,White,Thayer,,No
I am currently a freshman at Harvard.,7,9,10,8,3,11,12,6,2,4,7,5,1,Female,White,Thayer,Government,No
I am currently a freshman at Harvard.,7,2,8,11,9,10,5,12,4,3,6,7,1,Female,"White,Middle Eastern or North African",Thayer,Government,No
I am currently a freshman at Harvard.,6,2,10,8,1,11,12,7,4,5,9,6,3,Female,Asian,Thayer,Computer Science,No
I am currently a freshman at Harvard.,1,3,4,2,5,6,7,8,9,10,11,12,1,Female,"Black or African American,Asian",Pennypacker,Computer Science,No
I am currently a freshman at Harvard.,6,2,12,11,3,5,6,8,4,9,10,7,1,Female,Middle Eastern or North African,Stoughton,Biomedical Engineering,No
I am currently a freshman at Harvard.,8,4,11,10,5,6,9,7,1,8,12,3,2,Male,White,Thayer,    Social Studies,No
I am currently a freshman at Harvard.,4,5,10,9,3,8,11,7,2,4,12,6,1,,,,,
I am currently a freshman at Harvard.,8,2,12,9,7,3,5,10,1,4,8,6,11,,,,,
I am currently a freshman at Harvard.,6,8,12,10,3,6,7,4,1,9,11,5,2,,,,,
I am currently a freshman at Harvard.,5,4,10,11,2,7,9,5,1,8,12,6,3,,,,,
